Slug,Name,URL,Category,Subcategories,Rating,Reviews,Installs,Developer,Description,Has Free Version,Icon URL,Last Updated,Scraped At
colissimo,Colissimo,https://www.wix.com/app-market/web-solution/colissimo,Other,shipping--delivery:Shipping & Delivery,4.5,16,,Le Studio de Tom7 day,The Official Colissimo App,true,https://static.wixstatic.com/media/37ff5b_39d7c04aeee245d791967b9469dea60b~mv2.png/v1/fill/37ff5b_39d7c04aeee245d791967b9469dea60b~mv2.png,,2025-07-06T21:56:14.905Z
etsy-integration,Etsy Integration,https://www.wix.com/app-market/web-solution/etsy-integration,Developer Tools,stores:Stores,3.8,22,,Webkul,Sell On Etsy,true,https://static.wixstatic.com/media/75b4c0_8f43ce299c8a4db4969b5d40fe7325f3~mv2.png/v1/fill/75b4c0_8f43ce299c8a4db4969b5d40fe7325f3~mv2.png,,2025-07-06T21:56:14.985Z
lionwheel-delivery,LionWheel Delivery,https://www.wix.com/app-market/web-solution/lionwheel-delivery,Other,shipping--delivery:Shipping & Delivery,5,16,,LionWheel,Managing your deliveries,true,https://static.wixstatic.com/media/dec0a7_8003b540517947ef9193cfc081542310~mv2.webp/v1/fill/dec0a7_8003b540517947ef9193cfc081542310~mv2.webp,,2025-07-06T21:56:15.069Z
poky-product-importer,POKY - Product Importer,https://www.wix.com/app-market/web-solution/poky-product-importer,eCommerce,stores:Stores,3.6,15,,POKY2 day,Import Products From More than 15 Platforms,true,https://static.wixstatic.com/media/6cc8b1_020959f0b68047238850eedffe4c344a~mv2.png/v1/fill/6cc8b1_020959f0b68047238850eedffe4c344a~mv2.png,,2025-07-06T21:56:16.078Z
manda-bem,Manda Bem,https://www.wix.com/app-market/web-solution/manda-bem,Other,shipping--delivery:Shipping & Delivery,4.3,6,,Manda Bem,Manage your shipments easily,true,https://static.wixstatic.com/media/4ea00b_82fbea7707894452b7f1814062898ec8~mv2.png/v1/fill/4ea00b_82fbea7707894452b7f1814062898ec8~mv2.png,,2025-07-06T21:56:16.143Z
melhor-envio,Melhor Envio,https://www.wix.com/app-market/web-solution/melhor-envio,Design & Content,shipping--delivery:Shipping & Delivery,2.1,259,,Melhor Envio,Ofereça e gere fretes mais competitivos!,true,https://static.wixstatic.com/media/eaec2b_b92cbbb0811a44fab29741177c43e6c6~mv2.png/v1/fill/eaec2b_b92cbbb0811a44fab29741177c43e6c6~mv2.png,,2025-07-06T21:56:17.587Z
packlink-pro-shipping-platform,Packlink PRO Shipping Platform,https://www.wix.com/app-market/web-solution/packlink-pro-shipping-platform,eCommerce,shipping--delivery:Shipping & Delivery,4.2,77,,Packlink,Shipping Solutions for eCommerce & Marketplace,true,https://static.wixstatic.com/media/db53fd_ea7819db95494d2e9851c8c12e66be02~mv2.png/v1/fill/db53fd_ea7819db95494d2e9851c8c12e66be02~mv2.png,,2025-07-06T21:56:17.770Z
interparcel-au,Interparcel AU,https://www.wix.com/app-market/web-solution/interparcel-au,eCommerce,shipping--delivery:Shipping & Delivery,3,1,,Interparcel Australia,Reduce shipping costs and despatch instantly!,true,https://static.wixstatic.com/media/44b50b_94dfc2d3626745e08713398c06926d56~mv2.png/v1/fill/44b50b_94dfc2d3626745e08713398c06926d56~mv2.png,,2025-07-06T21:56:24.381Z
outvio,Outvio,https://www.wix.com/app-market/web-solution/outvio,eCommerce,shipping--delivery:Shipping & Delivery,2.5,6,,Outvio14 day,"Shipping, tracking & returns + Marketing tool",true,https://static.wixstatic.com/media/aa5d06_7cc05e1a2c914dd19f150f1f77ad5430~mv2.png/v1/fill/aa5d06_7cc05e1a2c914dd19f150f1f77ad5430~mv2.png,2001-01-17T23:00:00.000Z,2025-07-06T21:56:24.679Z
basit-kargo,Basit Kargo,https://www.wix.com/app-market/web-solution/basit-kargo,eCommerce,shipping--delivery:Shipping & Delivery,4,4,,Gemen Bilgi Teknoloji,Transfer your orders to any shipping company,true,https://static.wixstatic.com/media/d35bd0_fe68fc3c861a4ebcbc920d4e75e8d62a~mv2.png/v1/fill/d35bd0_fe68fc3c861a4ebcbc920d4e75e8d62a~mv2.png,,2025-07-06T21:56:24.770Z
